id,tokenId,value,operator,from,to,claimIds,transactionHash
29,32,18000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,102,0x6ed0bf0aeb3d3fbb8f0c4b78cb6f9070515dccbd403b77cb830b1fc1f551549b
30,33,8000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"103,104,105,106,107",0x6ed0bf0aeb3d3fbb8f0c4b78cb6f9070515dccbd403b77cb830b1fc1f551549b
31,34,20000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,108,0x6ed0bf0aeb3d3fbb8f0c4b78cb6f9070515dccbd403b77cb830b1fc1f551549b
32,35,32000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,109,0x6ed0bf0aeb3d3fbb8f0c4b78cb6f9070515dccbd403b77cb830b1fc1f551549b
33,36,26000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,110,0x8e6f122aeb2654196fb8dc6253c2d0bcc9aa972b5b717292f929fc79f3e7207a
34,37,31000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,111,0x8e6f122aeb2654196fb8dc6253c2d0bcc9aa972b5b717292f929fc79f3e7207a
35,38,15000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,112,0x8e6f122aeb2654196fb8dc6253c2d0bcc9aa972b5b717292f929fc79f3e7207a
36,39,3000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,113,0x9227860d6c5b9c92d2e2cf98445482b1994d6c60df18fde965e8aa336f000119
37,40,3000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,114,0xce404bfef1eebc7a6e60b5aa4ae219c8399436f1139ef6ea55a8b9f7303e693a
38,41,16000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"115,116,117,118,119",0xce404bfef1eebc7a6e60b5aa4ae219c8399436f1139ef6ea55a8b9f7303e693a
39,42,3000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,120,0xce404bfef1eebc7a6e60b5aa4ae219c8399436f1139ef6ea55a8b9f7303e693a
40,43,5000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,121,0xce404bfef1eebc7a6e60b5aa4ae219c8399436f1139ef6ea55a8b9f7303e693a
41,44,4000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,122,0xce404bfef1eebc7a6e60b5aa4ae219c8399436f1139ef6ea55a8b9f7303e693a
42,45,4000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,123,0x4409639e2669166f1b95150ec6e2e0333421fb1608783c907c41d6296e6278d1
43,46,4000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,124,0x385a861c986e67b4620f1822a1a5696f750ea58dc261601d8a78ad4e1a1f1277
44,47,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,125,0x26c6e3baa1333669bd4d81068f90f79ce2a3ae24258feccfd6ed2b170027926d
45,48,90000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,126,0x26c6e3baa1333669bd4d81068f90f79ce2a3ae24258feccfd6ed2b170027926d
46,49,24000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,127,0x26c6e3baa1333669bd4d81068f90f79ce2a3ae24258feccfd6ed2b170027926d
47,50,46000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,128,0x26c6e3baa1333669bd4d81068f90f79ce2a3ae24258feccfd6ed2b170027926d
48,51,102000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,129,0x26c6e3baa1333669bd4d81068f90f79ce2a3ae24258feccfd6ed2b170027926d
49,52,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,130,0x03f1d6fd0f8a3ff1aa4c25550e11aff65d87e588c4c48b73eba2c15f3b2df638
50,53,2000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,131,0x03f1d6fd0f8a3ff1aa4c25550e11aff65d87e588c4c48b73eba2c15f3b2df638
51,54,2000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,132,0x03f1d6fd0f8a3ff1aa4c25550e11aff65d87e588c4c48b73eba2c15f3b2df638
52,55,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,133,0x03f1d6fd0f8a3ff1aa4c25550e11aff65d87e588c4c48b73eba2c15f3b2df638
53,56,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,134,0x03f1d6fd0f8a3ff1aa4c25550e11aff65d87e588c4c48b73eba2c15f3b2df638
54,57,2000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,135,0xdda549715587594f204ba164418710893d77085b513d4cc39242dbda538f385f
55,58,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,136,0xdda549715587594f204ba164418710893d77085b513d4cc39242dbda538f385f
56,59,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,137,0xdda549715587594f204ba164418710893d77085b513d4cc39242dbda538f385f
57,60,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,138,0xdda549715587594f204ba164418710893d77085b513d4cc39242dbda538f385f
58,61,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,139,0xdda549715587594f204ba164418710893d77085b513d4cc39242dbda538f385f
59,62,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,140,0x59bf38c19753831af6c875c0d58873c4cdef32ce0a28b97020ae05a0864068e0
60,63,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,141,0x59bf38c19753831af6c875c0d58873c4cdef32ce0a28b97020ae05a0864068e0
61,64,11000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"142,143,144",0x18d28921016d4fef9e519b5b32e98cab4264dd2ebdec563aa139234bd3a67507
62,65,11000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"145,146,147",0x18d28921016d4fef9e519b5b32e98cab4264dd2ebdec563aa139234bd3a67507
63,66,6000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"148,149,150,151,152,153",0xa2763d41817ec3322c86c6ce57783dc403a0c7af9f7f2d44bb05d9c7223cfd9d
64,67,2000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"154,155",0xa2763d41817ec3322c86c6ce57783dc403a0c7af9f7f2d44bb05d9c7223cfd9d
65,68,9000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"156,157",0xa2763d41817ec3322c86c6ce57783dc403a0c7af9f7f2d44bb05d9c7223cfd9d
66,69,10000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"158,159,160",0xa2763d41817ec3322c86c6ce57783dc403a0c7af9f7f2d44bb05d9c7223cfd9d
67,70,1000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,161,0xa2763d41817ec3322c86c6ce57783dc403a0c7af9f7f2d44bb05d9c7223cfd9d
68,71,35000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"162,163",0x39332b97bec7126506bf13138f209087b1e5db1aef9038800007fd627372759e
69,72,9000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,164,0x39332b97bec7126506bf13138f209087b1e5db1aef9038800007fd627372759e
70,73,28000000,0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900,0x0000000000000000000000000000000000000000,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,"165,166,167,168",0x39332b97bec7126506bf13138f209087b1e5db1aef9038800007fd627372759e
