agreementAddress,certificateId,signedAmount,filledAmount,buyer,seller,metadata,metadataDecoded
0x2fEc594E70Fb8eBB7d75cEAB982389eeE12Ca82b,41,4000000,4000000,0x454A07d3395013628607Ca0B11d968FB4442FFdE,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005f474f2d2d57494e447c534f4c41522d2d444b2d2d2d33663033393165302d643665612d346664372d393337322d3836366261653365326436322d2d61323464623831352d633763652d353633382d393764332d33636637393335363330363000,"{""productType"":""GO"",""energySources"":[""WIND"",""SOLAR""],""country"":""DK"",""agreementId"":""3f0391e0-d6ea-4fd7-9372-866bae3e2d62"",""orderId"":""a24db815-c7ce-5638-97d3-3cf793563060""}"
0x97C77E16Aa3f2EDEbaD512149D2BAf4126d6638f,42,3000000,3000000,0x454A07d3395013628607Ca0B11d968FB4442FFdE,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005f474f2d2d57494e447c534f4c41522d2d444b2d2d2d66616531356331632d323161622d343262352d383563652d3234643262666534323030362d2d30643562623636662d623862612d356261622d616337302d36666233633036306631386300,"{""productType"":""GO"",""energySources"":[""WIND"",""SOLAR""],""country"":""DK"",""agreementId"":""fae15c1c-21ab-42b5-85ce-24d2bfe42006"",""orderId"":""0d5bb66f-b8ba-5bab-ac70-6fb3c060f18c""}"
0xB3880298d8985921ab15830edD6057cbC9487207,88,11000000,11000000,0x4C38546ac59244890237dFcdeBc862844b2752B5,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x00000000000000000000000000000000000000000000000000000000000000645245432d2d57494e447c534f4c41522d2d55532d574543432d2d64623237353530632d323262312d346239652d383661632d3832313233653230396263382d2d63396633616431392d396236652d353432392d393961312d65633966613964323462366100000000000000000000000000000000000000000000000000000000,"{""productType"":""REC"",""energySources"":[""WIND"",""SOLAR""],""country"":""US"",""region"":""WECC"",""agreementId"":""db27550c-22b1-4b9e-86ac-82123e209bc8"",""orderId"":""c9f3ad19-9b6e-5429-99a1-ec9fa9d24b6a""}"
0x527ae5fA4bc717BC3aE4e31b2D439D52b356F656,78,1000000,1000000,0x683f9679b7aE05413F26ae985835BAfa0Ddfbe4A,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x00000000000000000000000000000000000000000000000000000000000000645245432d2d57494e447c534f4c41522d2d55532d574543432d2d33613363353233332d323134312d346236322d383863622d3137366466656365656464322d2d62323937356265342d616635302d353039312d626464302d61303764646533343366363900000000000000000000000000000000000000000000000000000000,"{""productType"":""REC"",""energySources"":[""WIND"",""SOLAR""],""country"":""US"",""region"":""WECC"",""agreementId"":""3a3c5233-2141-4b62-88cb-176dfeceedd2"",""orderId"":""b2975be4-af50-5091-bdd0-a07dde343f69""}"
0xe06a541AC16cB61084f2635A1D895F56debD70d9,83,1000000,1000000,0x683f9679b7aE05413F26ae985835BAfa0Ddfbe4A,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x00000000000000000000000000000000000000000000000000000000000000645245432d2d57494e447c534f4c41522d2d55532d574543432d2d37663139626163392d623939352d343061342d393762342d6363623631663434656338382d2d33383266386532622d633839312d353566352d393164382d65363432326130366162306500000000000000000000000000000000000000000000000000000000,"{""productType"":""REC"",""energySources"":[""WIND"",""SOLAR""],""country"":""US"",""region"":""WECC"",""agreementId"":""7f19bac9-b995-40a4-97b4-ccb61f44ec88"",""orderId"":""382f8e2b-c891-55f5-91d8-e6422a06ab0e""}"
0xf8A247Ab7Eb4879C07D9cc9198f14F6ee7d6bD32,73,6000000,6000000,0x683f9679b7aE05413F26ae985835BAfa0Ddfbe4A,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x00000000000000000000000000000000000000000000000000000000000000645245432d2d57494e447c534f4c41522d2d55532d574543432d2d39303238313437312d303336632d346135612d383739662d3231363636303639666266372d2d39656336656339332d363361342d353436302d386638342d66373730373436656335636200000000000000000000000000000000000000000000000000000000,"{""productType"":""REC"",""energySources"":[""WIND"",""SOLAR""],""country"":""US"",""region"":""WECC"",""agreementId"":""90281471-036c-4a5a-879f-21666069fbf7"",""orderId"":""9ec6ec93-63a4-5460-8f84-f770746ec5cb""}"
0x01A80924Cb858807bdB56551D105c5c8c6F8E003,44,4000000,4000000,0x454A07d3395013628607Ca0B11d968FB4442FFdE,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005f474f2d2d57494e447c534f4c41522d2d444b2d2d2d65356464353532382d643331622d346131362d623338662d6134306263656533313331612d2d35663032386631612d306131652d356435652d393531372d39323264653733343863313600,"{""productType"":""GO"",""energySources"":[""WIND"",""SOLAR""],""country"":""DK"",""agreementId"":""e5dd5528-d31b-4a16-b38f-a40bcee3131a"",""orderId"":""5f028f1a-0a1e-5d5e-9517-922de7348c16""}"
0x9A09ADdF8BB3BB49e4d7436981dAE34D1cFefA89,40,3000000,3000000,0x454A07d3395013628607Ca0B11d968FB4442FFdE,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005f474f2d2d57494e447c534f4c41522d2d444b2d2d2d32313463386263342d306161632d343263362d393934342d6161336338386238633365612d2d63343961363332612d333239612d353730322d613537302d63383239333232626632626600,"{""productType"":""GO"",""energySources"":[""WIND"",""SOLAR""],""country"":""DK"",""agreementId"":""214c8bc4-0aac-42c6-9944-aa3c88b8c3ea"",""orderId"":""c49a632a-329a-5702-a570-c829322bf2bf""}"
0x976047206819181Aeb8CB2A14f731710bA65A06a,45,4000000,4000000,0x454A07d3395013628607Ca0B11d968FB4442FFdE,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x000000000000000000000000000000000000000000000000000000000000005f474f2d2d57494e447c534f4c41522d2d444b2d2d2d33653965303734632d616638352d343364382d383531322d3337633130626331653833362d2d63633331643032632d643831392d353831342d396537322d32333632343466633964313800,"{""productType"":""GO"",""energySources"":[""WIND"",""SOLAR""],""country"":""DK"",""agreementId"":""3e9e074c-af85-43d8-8512-37c10bc1e836"",""orderId"":""cc31d02c-d819-5814-9e72-236244fc9d18""}"
0x6D25018E0aB6d6700de9e22fE6AE35Df6f5FC875,65,1000000,1000000,0x25Bf281bE6869857C43Ee496BB191721933BE676,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x00000000000000000000000000000000000000000000000000000000000000645245432d2d57494e447c534f4c41522d2d55532d4e5043432d2d61613237663734382d613239322d343231612d623861632d3063643635653462303564372d2d39666135383530302d613861332d353338332d383034382d31643531393139636630366600000000000000000000000000000000000000000000000000000000,"{""productType"":""REC"",""energySources"":[""WIND"",""SOLAR""],""country"":""US"",""region"":""NPCC"",""agreementId"":""aa27f748-a292-421a-b8ac-0cd65e4b05d7"",""orderId"":""9fa58500-a8a3-5383-8048-1d51919cf06f""}"
0xAc9530beBd8DB73127B79FAC126f2aD09E55f42e,66,1000000,1000000,0xE9d31D8E00cb3562bAb364781d9BceFB377F8D88,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x00000000000000000000000000000000000000000000000000000000000000645245432d2d57494e447c534f4c41522d2d55532d4e5043432d2d65626537373335652d346165632d346131342d626166362d3132343534353436323363612d2d39326237303432392d343134352d353533322d396430322d39323062376534343436353200000000000000000000000000000000000000000000000000000000,"{""productType"":""REC"",""energySources"":[""WIND"",""SOLAR""],""country"":""US"",""region"":""NPCC"",""agreementId"":""ebe7735e-4aec-4a14-baf6-1245454623ca"",""orderId"":""92b70429-4145-5532-9d02-920b7e444652""}"
0xfd68181B8a81c052909b97a57e69CAD556Ca9Eff,66,1000000,1000000,0xE9d31D8E00cb3562bAb364781d9BceFB377F8D88,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x00000000000000000000000000000000000000000000000000000000000000645245432d2d57494e447c534f4c41522d2d55532d4e5043432d2d32316439646163352d313038302d343831302d386138342d3833363338653665653236352d2d39336461343134632d616363652d353331302d623266612d61373664626164333031363800000000000000000000000000000000000000000000000000000000,"{""productType"":""REC"",""energySources"":[""WIND"",""SOLAR""],""country"":""US"",""region"":""NPCC"",""agreementId"":""21d9dac5-1080-4810-8a84-83638e6ee265"",""orderId"":""93da414c-acce-5310-b2fa-a76dbad30168""}"
0xE0d8b79610c97937D2BC37EBb02669E7ff2603d6,66,1000000,1000000,0xE9d31D8E00cb3562bAb364781d9BceFB377F8D88,0x1C3B3e70109cd92075F097aD54592ed40F0e6C6c,0x00000000000000000000000000000000000000000000000000000000000000645245432d2d57494e447c534f4c41522d2d55532d4e5043432d2d35633633356562332d626636622d343061372d626437332d6565373131393166306138372d2d38353164353630612d346139362d353165332d383165382d34336263653465316436323700000000000000000000000000000000000000000000000000000000,"{""productType"":""REC"",""energySources"":[""WIND"",""SOLAR""],""country"":""US"",""region"":""NPCC"",""agreementId"":""5c635eb3-bf6b-40a7-bd73-ee71191f0a87"",""orderId"":""851d560a-4a96-51e3-81e8-43bce4e1d627""}"
