batchId,storagePointer,certificateIds,redemptionStatement,transactionHash
0x000000000000000000000000000000000000000000000000000000000000030d,https://bafybeidk2d5cibjfwzid4peqp5rsrl3fcg2cod4qub2sqy3mnjn4dgbb6u.ipfs.dweb.link,843,bafybeidk2d5cibjfwzid4peqp5rsrl3fcg2cod4qub2sqy3mnjn4dgbb6u,0xf8bd44791b59fe88d80fe38ad58fbde6a96d34ccf0ae5a4e1de56aa23f1f31fa
0x000000000000000000000000000000000000000000000000000000000000030e,https://bafybeihm7zj32dw5upfeh3jheiugxavfwti42m2am5fbmnllo622qcv7su.ipfs.dweb.link,844,bafybeihm7zj32dw5upfeh3jheiugxavfwti42m2am5fbmnllo622qcv7su,0x6650dcb7e34323341d6c1d85de549a8383a05d71585f0707a24ccec5e2023c43
0x000000000000000000000000000000000000000000000000000000000000030f,https://bafybeie5lfyuds2uiuurpmhhdzg3j3octpntom72aap5p444j7pe4zslwm.ipfs.dweb.link,845,bafybeie5lfyuds2uiuurpmhhdzg3j3octpntom72aap5p444j7pe4zslwm,0x1f083073567032af7c35cd7cf00e45188c507f8ab370e4591015ff06bfb9a998
0x0000000000000000000000000000000000000000000000000000000000000310,https://bafybeidoo6nibi2x5hgvprzr2d55zqove3drvabn3vngee77px3ucsesd4.ipfs.dweb.link,846,bafybeidoo6nibi2x5hgvprzr2d55zqove3drvabn3vngee77px3ucsesd4,0x8bc151e29992c7c20cf00655fc22543be6a993b21266bb30c1a274d3c0cff56a
0x0000000000000000000000000000000000000000000000000000000000000311,https://bafybeifico54g35pvqlyz3nwkjxmtpj5ggvorkknvpdrcawy3zjvvqgfc4.ipfs.dweb.link,847,bafybeifico54g35pvqlyz3nwkjxmtpj5ggvorkknvpdrcawy3zjvvqgfc4,0xe0a0110414b1e2390d1a0a12493379fb829f8f8a3fa11b009d21620b126001d1
0x0000000000000000000000000000000000000000000000000000000000000312,https://bafkreih4i7nnomtf2zlug3dtujua655z4v337cqjilil5d2mwkiegyua2y.ipfs.dweb.link,848,bafkreih4i7nnomtf2zlug3dtujua655z4v337cqjilil5d2mwkiegyua2y,0xbec414890e76cf7204d20f3b3e176bfd5739df60679e1596b7a477c751b1a25f
0x0000000000000000000000000000000000000000000000000000000000000313,https://bafkreigfjlrfe5542wxvbfommnaihgbvdycb7nlzu5nro2pzbbmuopmwda.ipfs.dweb.link,849,bafkreigfjlrfe5542wxvbfommnaihgbvdycb7nlzu5nro2pzbbmuopmwda,0xfdc6ed1de97733397a05568946f855279ed41519a079721017162c05a4306d8d
0x0000000000000000000000000000000000000000000000000000000000000314,https://bafkreif27lojchleqe2pidpxuonxk4ncqyamo2w6xtceicpwneklbg5nk4.ipfs.dweb.link,850,bafkreif27lojchleqe2pidpxuonxk4ncqyamo2w6xtceicpwneklbg5nk4,0x12a47a3b6d681e6e4387cecc111b837e603912fe159d3101838b6794d6d07e40
0x0000000000000000000000000000000000000000000000000000000000000315,https://bafkreihtuerc47etigknmenxqmzj46cr7joezwtdocjwxnucq4yex3gky4.ipfs.dweb.link,851,bafkreihtuerc47etigknmenxqmzj46cr7joezwtdocjwxnucq4yex3gky4,0x76a46e8cf3cab4fb5fba594c8ee6ee9d9dc74e5485af42d117fa5814d4db5893
0x0000000000000000000000000000000000000000000000000000000000000316,https://bafkreicjlgagotbygdzmldeifiwtyesowmtihjgtleeaoodugbz67mhdyi.ipfs.dweb.link,852,bafkreicjlgagotbygdzmldeifiwtyesowmtihjgtleeaoodugbz67mhdyi,0xba1438046322a3e0c644931f436d0b9eecb1dcd3271906de4ab01cd20c2337f5
0x0000000000000000000000000000000000000000000000000000000000000317,https://bafkreiezcxzsxp2k4jnhuhvntdcitb44szyrhtuk35l2upoq2zvh3gmjgy.ipfs.dweb.link,853,bafkreiezcxzsxp2k4jnhuhvntdcitb44szyrhtuk35l2upoq2zvh3gmjgy,0xcdddf5735c7d8850d205153d0fc621b46e97f493d65949ea06b2df172049ad5a
0x0000000000000000000000000000000000000000000000000000000000000318,https://bafkreifq5kjwc67whcnhmox6ekqjnmhx4irfolcl3z5gvvz4rdj4sbqdvm.ipfs.dweb.link,854,bafkreifq5kjwc67whcnhmox6ekqjnmhx4irfolcl3z5gvvz4rdj4sbqdvm,0x85cb2e95dc8358fcf0e92ddc8a4fe8ef38c5f094506975015f2b58ba5f7294c4
0x0000000000000000000000000000000000000000000000000000000000000319,https://bafkreiapt64q2f6st5t6m55oxkjho6gtbgbu74b5tkgambueibyskmtfma.ipfs.dweb.link,855,bafkreiapt64q2f6st5t6m55oxkjho6gtbgbu74b5tkgambueibyskmtfma,0x248b7de47f73eb0af83537e0ea01ea39a664c5360185bc94c51f686c428ea6ed
0x000000000000000000000000000000000000000000000000000000000000031a,https://bafkreicbs4x6wrjeqbduk6gdyp6gef6yusjwn7k2fq63taojssg4nu7hu4.ipfs.dweb.link,856,bafkreicbs4x6wrjeqbduk6gdyp6gef6yusjwn7k2fq63taojssg4nu7hu4,0x1829db19798a64d4e4782ae2e47732ea25b96755f7e09b84662e0e1fc2005838
0x000000000000000000000000000000000000000000000000000000000000004a,https://bafkreie5ihyzoqwnnvzgl3z3lf7vichms7xcvt23bsce3zou5hxuot5xye.ipfs.dweb.link,857,bafkreie5ihyzoqwnnvzgl3z3lf7vichms7xcvt23bsce3zou5hxuot5xye,0x819491b345255630135f2ae18e6f964a4b42570ec8e619bb417e5b1f1ce22d9d
0x00000000000000000000000000000000000000000000000000000000000002eb,https://bafkreiesbax2gsm27gbel46bemm6owqenofd7icqnc64s56zgosdnzghbe.ipfs.dweb.link,858,bafkreiesbax2gsm27gbel46bemm6owqenofd7icqnc64s56zgosdnzghbe,0x52f59c32a920b6225589709d325ed25ae78602923ec05f66374b2d6fd54284bf
0x000000000000000000000000000000000000000000000000000000000000004b,https://bafkreihnnqwcmfl7kbe5rj4glpam2cdo4uwlmigcfl6yhm2ubvt4kzgu2a.ipfs.dweb.link,859,bafkreihnnqwcmfl7kbe5rj4glpam2cdo4uwlmigcfl6yhm2ubvt4kzgu2a,0x6f091b328e9afe18f26c5f2a5fa7cd628c42c68c0184850424c50893d19605ec
0x000000000000000000000000000000000000000000000000000000000000004c,https://bafkreicj5nuirp26up36wdjdcdbdd5atppny7xhruoluvh6wi4in2ggytu.ipfs.dweb.link,860,bafkreicj5nuirp26up36wdjdcdbdd5atppny7xhruoluvh6wi4in2ggytu,0x66553e3b0887a2b9a0ef3e77dc7b762d445706c4be9bffd7ad78e4ea4d64f270
0x000000000000000000000000000000000000000000000000000000000000004d,https://bafkreifptkaf76p47rcotu7vmnrqbdent5ovsspyugrebthieusqtvrica.ipfs.dweb.link,861,bafkreifptkaf76p47rcotu7vmnrqbdent5ovsspyugrebthieusqtvrica,0x3db5081eb61a4eff848d4c2ba1297b215cb0cdab318af0171e48bde12dddfdc7
0x000000000000000000000000000000000000000000000000000000000000004e,https://bafkreifjc5qrc6lxhh4jun7cqqwnrzlga6anb6wfus5djfyg5qlprssh5q.ipfs.dweb.link,862,bafkreifjc5qrc6lxhh4jun7cqqwnrzlga6anb6wfus5djfyg5qlprssh5q,0x56f9be181b17fb548673c4c07feace3e06650cd415f5229e49ee06702d85b760
0x000000000000000000000000000000000000000000000000000000000000004f,https://bafkreicza4mhvllgabs54oqiw2uca3yc5jbdqthoaywln4elaqc5o4er4a.ipfs.dweb.link,863,bafkreicza4mhvllgabs54oqiw2uca3yc5jbdqthoaywln4elaqc5o4er4a,0xc42bd6ef8538f6b0f5a651ac77c8ba35b067537e9731dc9b85177aaef170fb4c
0x0000000000000000000000000000000000000000000000000000000000000050,https://bafkreifhpof7itu4mv4kma6yko6tsw7d5v5ieec4dlvv7buzhajigvmo4a.ipfs.dweb.link,864,bafkreifhpof7itu4mv4kma6yko6tsw7d5v5ieec4dlvv7buzhajigvmo4a,0x16113f8dff4a4cdda9e0331c70442e6cabc0b365c697e981aead90f8d1f3d4a8
0x0000000000000000000000000000000000000000000000000000000000000008,https://bafkreid2plizfeab2sdcqkufhous5eqxfvjj6qzmfl544fbvhqmbkfhtim.ipfs.dweb.link,865,bafkreid2plizfeab2sdcqkufhous5eqxfvjj6qzmfl544fbvhqmbkfhtim,0x0a1e7ce10462e875114f3a3bbe432fa6bd185babbde8c13fe97504fd4c15f62e
0x0000000000000000000000000000000000000000000000000000000000000051,https://bafkreicfavvbz4vzkahkzkm6gxkazpqdvubeg6hwdviyatehcw3tutgf44.ipfs.dweb.link,866,bafkreicfavvbz4vzkahkzkm6gxkazpqdvubeg6hwdviyatehcw3tutgf44,0x73826f6f125eda0d57745707765bfd5786e05cc210f17e95dd16b3400ec94039
